Id,Country,1995,2000,2005,2007,2010,2012,2014,latitude,longitude
1,Mali,N/A,N/A,320,325,300,290,260,17.3577671,-3.5273819
2,Cameroon,N/A,N/A,N/A,550,380,210,150,5.6854768,12.7228775
3,Chad,2500,5100,5000,2500,1400,1400,1400,15.3676529,18.6675816
4,Democratic Republic of Congo,N/A,NA,5000,4000,2500,2000,1000,-4.0383,21.7587
5,Uganda,1900,2100,3200,3900,4000,4500,5400,1.277328,32.3899841
6,Malawi,N/A,N/A,575,700,525,725,775,-13.5235777,33.8354645
7,Tanzania,100000,110000,125000,115000,90000,60000,40000,-6.3068972,34.8539276
8,Kenya,N/A,18000,17000,17500,18000,19000,19000,0.5765032,37.8398895
9,Zambia,27000,23000,20500,20000,19500,19000,19000,-13.4588451,27.7880974
10,Zimbabwe,60000,80000,90000,90000,90000,88000,85000,-19.0002804,29.8687611
11,Mozambique,5000,15000,19000,2000,20500,13000,9000,-17.5558643,35.9556923
12,Angola,N/A,N/A,1800,1750,1600,1550,1500,-12.3335552,17.539465
13,Botswana,100000,125000,145000,150000,150000,150000,145000,-22.1867523,23.8149414
14,South Africa,8000,10000,12000,13000,15000,16000,18000,-29.0461845,25.0628796
15,West African Region,N/A,N/A,5000,6000,7000,7500,9000,2.4604,13.5317
